1.00 115
2.00 101
3.00 90.1
4.00 105
5.00 107
6.00 99.5
7.00 99.0
8.00 99.1
9.00 98.5
10.00 99.0
11.00 98.5
12.00 99.5
13.00 98.5
14.00 99.0
15.00 99.1
16.00 98.5
17.00 99.1
18.00 99.0
19.00 99.0
20.00 99.1
21.00 99.1
22.00 98.5
23.00 99.1
24.00 99.0
25.00 99.1
26.00 99.0
27.00 99.1
28.00 98.5
29.00 99.0
30.00 99.1
31.00 99.1
32.00 99.0
33.00 98.5
34.00 99.1
35.00 99.1
36.00 99.0
37.00 99.0
38.00 99.0
39.00 99.0
40.00 99.1
41.00 98.6
42.00 99.0
43.00 99.0
44.00 99.1
45.00 99.0
46.00 98.5
47.00 99.1
48.00 99.1
49.00 98.5
50.00 99.6
51.00 98.5
52.00 99.0
53.00 99.1
54.00 99.0
55.00 98.6
56.00 99.0
57.00 99.1
58.00 99.0
59.00 99.0
60.00 98.6
61.00 99.1
62.00 99.0
63.00 99.1
64.00 99.0
65.00 99.0
66.00 98.5
67.00 99.0
68.00 99.1
69.00 99.0
70.00 99.1
71.00 98.5
72.00 99.0
73.00 99.0
74.00 99.1
75.00 99.0
76.00 98.5
77.00 99.1
78.00 99.1
79.00 99.0
80.00 99.1
81.00 98.5
82.00 99.0
83.00 99.1
84.00 99.0
85.00 99.0
86.00 98.5
87.00 99.1
88.00 99.1
89.00 99.0
90.00 99.0
91.00 99.1
92.00 98.9
93.00 98.6
94.00 99.1
95.00 99.1
96.00 98.5
97.00 99.0
98.00 99.0
99.00 99.0
100.00 99.0
101.00 99.0
102.00 98.5
103.00 99.1
104.00 99.1
105.00 99.0
106.00 98.5
107.00 99.1
108.00 99.0
109.00 99.1
110.00 99.0
111.00 99.0
112.00 99.0
113.00 98.5
114.00 99.1
115.00 99.0
116.00 99.0
117.00 99.0
118.00 98.6
119.00 99.1
120.00 99.1
