#time   h-1-a   h-1-b
1.00     167    61.3
2.00    88.6    36.5
3.00    56.8    48.5
4.00     114    99.5
5.00    79.7    77.2
6.00    81.9    74.5
7.00    86.5    87.6
8.00    64.1     107
9.00    75.0    90.2
10.00   50.6    31.3
11.00   67.7    69.9
12.00   94.3     105
13.00   78.2     110
14.00   84.4    64.1
15.00   84.5     105
16.00    104     114
17.00   80.3    72.4
18.00   37.0    41.7
19.00   68.3    56.8
20.00   44.8    61.0
21.00   84.4    76.6
22.00   41.2    29.7
23.00   66.2    65.2
24.00   71.4    71.9
25.00   79.7    79.7
26.00   75.6    75.6
27.00   39.1    49.0
28.00   71.9    56.3
29.00   72.9    64.6
30.00   54.2    58.9
31.00    105    75.1
32.00   86.0    90.2
33.00   47.9    37.0
34.00   82.9    89.2
35.00   54.7    53.7
36.00   83.3    58.9
37.00   34.4    36.5
38.00   48.5    52.1
39.00   79.7    61.6
40.00   47.9    56.3
41.00   67.8    77.7
42.00   52.6    50.0
43.00   59.4    59.5
44.00   76.7    85.0
45.00   43.3    55.3
46.00    109     140
47.00   64.2    63.6
48.00   27.6    52.7
49.00   57.9    54.7
50.00   46.4    64.6
51.00   90.8    74.0
52.00   49.0    56.3
53.00   43.8    37.6
54.00   86.0     100
55.00   47.9    40.7
56.00   37.6    35.4
57.00   66.7    93.3
58.00   53.2    42.7
59.00   68.8    86.0
60.00   60.0    55.8
61.00   47.9    55.8
62.00   62.6    88.1
63.00   59.9    35.4
64.00   36.5    30.8
65.00   65.2    64.7
66.00   44.3    39.6
67.00   52.6    57.3
68.00   33.3    54.8
69.00   51.1    37.0
70.00   66.2    82.9
71.00    104    98.6
72.00   70.4    78.7
73.00   74.0    79.3
74.00   32.8    33.9
75.00   35.4    56.8
76.00   49.0    52.6
77.00   63.1    65.6
78.00   69.4    64.1
79.00   62.0    97.0
80.00   92.2    79.3
81.00   76.2    75.5
82.00   69.3    43.8
83.00   62.1    54.2
84.00   88.6    89.2
85.00   46.4    49.5
86.00   49.0    38.0
87.00   53.7    48.5
88.00   79.7    80.8
89.00   56.8    67.3
90.00   91.8    82.9
91.00    106     107
92.00   47.5    44.9
93.00   71.9    88.4
94.00    202     201
95.00    209     272
96.00    143     187
97.00    174     211
98.00    147     179
99.00    199     197
100.00   142     131
101.00   109     152
102.00   166     155
103.00  94.9    86.5
104.00  68.8    75.6
105.00  80.2    77.7
106.00  29.7    26.6
107.00  67.8    80.8
108.00  61.0    62.5
109.00  34.4    53.7
110.00  96.5    77.1
111.00  92.2    99.6
112.00  99.6     107
113.00  80.2    83.9
114.00  85.5    90.2
115.00  71.4    81.3
116.00  94.3    74.5
117.00  59.9    74.5
118.00  55.3    47.4
119.00  86.0     115
120.00  55.8     157

