#time 	bbr		cubic	reno
1.00	0.822	0.590	1.27
2.00	1.11	0.955	1.32
3.00	1.32	1.36	1.32
4.00	1.40	1.27	1.30
5.00	1.47	1.23	1.27
6.00	1.44	1.41	1.19
7.00	0.975	1.42	1.04
8.00	1.27	1.14	0.986
9.00	1.49	1.11	1.03
10.00	1.51	1.30	1.00
11.00	1.52	1.24	0.854
12.00	0.985	1.37	1.14
13.00	1.23	1.24	1.33
14.00	1.46	1.14	1.31
15.00	1.10	1.18	1.09
16.00	1.11	1.12	1.09
17.00	0.843	1.39	1.34
18.00	1.04	1.43	1.15
19.00	1.41	1.22	1.06
20.00	1.38	1.21	1.04
21.00	1.34	1.36	1.07
22.00	1.42	1.37	1.05
23.00	1.47	1.10	1.07
24.00	1.45	1.24	1.07
25.00	1.43	1.18	1.06
26.00	1.46	1.06	1.00
27.00	1.20	1.00	1.05
28.00	1.03	1.30	1.01
29.00	1.48	1.12	1.02
30.00	1.41	1.29	1.00
31.00	1.41	1.18	1.04
32.00	1.44	1.13	1.02
33.00	1.43	1.12	1.04
34.00	1.36	1.29	1.01
35.00	1.35	1.32	0.939
36.00	1.31	1.42	1.13
37.00	1.25	1.28	0.911
38.00	1.25	1.38	1.07
39.00	1.33	1.31	1.28
40.00	0.975	1.14	1.29
41.00	1.34	1.23	1.11
42.00	1.29	1.24	1.03
43.00	1.32	1.21	1.05
44.00	1.32	1.32	1.02
45.00	1.38	1.19	1.06
46.00	1.52	1.17	1.03
47.00	1.45	1.35	1.07
48.00	1.41	1.20	0.883
49.00	0.676	1.30	1.31
50.00	1.42	1.32	1.34
51.00	1.03	1.28	1.26
52.00	1.25	1.39	1.08
53.00	1.46	1.36	1.03
54.00	1.43	1.44	1.04
55.00	0.744	1.43	1.09
56.00	1.27	1.31	1.37
57.00	0.666	1.23	1.24
58.00	1.32	1.11	1.11
59.00	1.42	1.19	1.06
60.00	1.44	0.909	1.08
61.00	0.487	1.44	1.09
62.00	1.12	1.18	1.12
63.00	1.38	1.44	1.27
64.00	1.47	1.29	1.36
65.00	1.30	1.31	1.38
66.00	1.33	1.14	1.41
67.00	0.971	1.17	1.01
68.00	1.47	1.38	1.26
69.00	1.47	1.15	1.02
70.00	1.29	1.28	1.02
71.00	0.836	1.19	0.998
72.00	1.28	1.20	1.04
73.00	1.07	1.19	1.07
74.00	1.14	1.08	0.912
75.00	1.04	1.28	1.06
76.00	1.28	1.20	1.01
77.00	1.39	1.42	1.04
78.00	1.31	1.24	0.962
79.00	1.00	1.33	1.04
80.00	1.37	1.16	1.32
81.00	1.46	1.07	1.36
82.00	1.41	1.07	1.05
83.00	1.38	1.11	1.11
84.00	1.42	0.988	1.06
85.00	1.46	1.30	0.850
86.00	1.34	1.42	1.10
87.00	1.33	1.09	1.27
88.00	1.31	1.22	0.954
89.00	0.372	1.24	1.06
90.00	1.43	1.28	1.05
91.00	1.38	1.44	1.04
92.00	1.39	1.16	1.16
93.00	1.37	1.35	1.30
94.00	1.17	1.40	1.01
95.00	1.44	1.40	1.07
96.00	1.38	1.36	1.09
97.00	1.42	1.22	1.04
98.00	0.803	1.13	1.06
99.00	0.845	1.35	1.07
100.00	1.46	1.26	1.12
101.00	1.34	1.40	1.04
102.00	0.970	1.41	1.06
103.00	1.38	1.29	1.00
104.00	1.48	1.33	1.07
105.00	1.42	1.26	1.01
106.00	1.44	1.13	1.05
107.00	1.42	1.21	1.08
108.00	1.40	1.34	1.09
109.00	1.43	1.31	0.975
110.00	1.36	1.29	0.785
111.00	1.43	1.38	1.21
112.00	0.957	1.23	0.825
113.00	1.34	1.25	1.08
114.00	1.37	1.17	1.06
115.00	1.42	1.40	1.25
116.00	1.49	1.39	1.35
117.00	1.40	1.39	1.20
118.00	1.35	1.43	1.15
119.00	1.43	1.32	1.27
120.00	1.43	1.21	1.20
